Stock,% ofPortfolio,Shares,RecentActivity,ReportedPrice*,Value,CurrentPrice,+/-ReportedPrice,52WeekLow,52WeekHigh
ATCO - Atlas Corp.,49.53,99981389,Add 0.05%,$15.19,"$1,518,717,000",$14.07,-7.37%,$10.05,$16.35
BB - BlackBerry Ltd.,14.81,46724700, ,$9.72,"$454,164,000",$9.49,-2.37%,$6.52,$28.77
RFP - Resolute Forest Products,11.86,30548190, ,$11.90,"$363,523,000",$15.08,26.72%,$5.84,$16.36
KW - Kennedy-Wilson Holdings Inc.,9.09,13322009, ,$20.92,"$278,696,000",$23.62,12.91%,$16.39,$24.02
CCAP - Crescent Capital BDC Inc.,2.36,3796246, ,$19.05,"$72,318,000",$17.69,-7.14%,$13.16,$21.43
MU - Micron Technology Inc.,1.6,690200, ,$70.96,"$48,977,000",$93.86,32.27%,$65.67,$96.82
GOOGL - Alphabet Inc.,1.46,16731, ,$2671.27,"$44,693,000",$2924.21,9.47%,$1696.10,$3019.33
BEN - Franklin Resources,0.97,1000000, ,$29.72,"$29,720,000",$33.44,12.52%,$23.32,$38.27
HRB - H&R Block Inc.,0.91,1120894,Add 45.40%,$25.00,"$28,022,000",$23.62,-5.52%,$14.74,$25.94
GM - General Motors,0.65,375965, ,$52.69,"$19,810,000",$58.13,10.32%,$40.04,$65.18
GE - General Electric,0.58,173862,Reduce 0.00%,$102.99,"$17,906,000",$94.70,-8.05%,$82.94,$116.06
PFE - Pfizer Inc.,0.56,400900, ,$43.00,"$17,239,000",$58.40,35.81%,$32.45,$61.71
CVX - Chevron Corp.,0.52,155800, ,$101.45,"$15,806,000",$117.43,15.75%,$80.84,$119.34
BNS - Bank of Nova Scotia,0.5,247100, ,$61.51,"$15,200,000",$71.73,16.62%,$50.98,$71.87
HP - Helmerich & Payne,0.5,555105, ,$27.40,"$15,210,000",$24.03,-12.30%,$20.93,$35.57
MRK - Merck & Co.,0.42,172900, ,$75.11,"$12,987,000",$77.14,2.70%,$14.91,$90.54
JNJ - Johnson & Johnson,0.39,73400, ,$161.43,"$11,849,000",$172.31,6.74%,$148.67,$177.77
