date,Rank,Company Name,% of Net Assets,Ticker,Identifier,Type,Shares Held,Market Value($),Notional Value($)
10_05_2021,1,EURO,97.27,–,–,Currency,3191508,3699913,0
10_05_2021,2,EURO,1.67,–,–,Currency,54882,63624,0
10_05_2021,3,Cash,1.06,–,–,Cash,40150,40150,0
10_05_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3826522
10_06_2021,1,EURO,106.54,–,–,Currency,3191508,3683812,0
10_06_2021,2,Cash,1.15,–,–,Cash,39761,39761,0
10_06_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3480216
10_06_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3758625
10_06_2021,5,EURO,-7.69,–,–,Currency,-230454,-266003,0
10_07_2021,1,EURO,104.3,–,–,Currency,3191508,3689562,0
10_07_2021,2,Cash,1.14,–,–,Cash,40472,40472,0
10_07_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3559346
10_07_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3758950
10_07_2021,5,EURO,-5.44,–,–,Currency,-166500,-192483,0
10_08_2021,1,Cash,108.81,–,–,Cash,3725918,3725918,0
10_08_2021,2,EURO,0.34,–,–,Currency,10000,11574,0
10_08_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3443050
10_08_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3767075
10_08_2021,5,EURO,-9.15,–,–,Currency,-270744,-313357,0
10_11_2021,1,Cash,107.31,–,–,Cash,3720010,3720010,0
10_11_2021,2,EURO,0.33,–,–,Currency,10000,11572,0
10_11_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3491008
10_11_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3761388
10_11_2021,5,EURO,-7.64,–,–,Currency,-228924,-264922,0
10_12_2021,1,Cash,107.72,–,–,Cash,3710185,3710185,0
10_12_2021,2,EURO,0.34,–,–,Currency,10000,11549,0
10_12_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3470954
10_12_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3751638
10_12_2021,5,EURO,-8.05,–,–,Currency,-240144,-277341,0
10_13_2021,1,Cash,107.44,–,–,Cash,3729449,3729449,0
10_13_2021,2,EURO,0.33,–,–,Currency,10000,11574,0
10_13_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3486892
10_13_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3770975
10_13_2021,5,EURO,-7.77,–,–,Currency,-233004,-269690,0
10_14_2021,1,Cash,103.28,–,–,Cash,3732299,3732299,0
10_14_2021,2,EURO,0.32,–,–,Currency,10000,11590,0
10_14_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3631500
10_14_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3773900
10_14_2021,5,EURO,-3.6,–,–,Currency,-112134,-129958,0
10_15_2021,1,Cash,106.77,–,–,Cash,3734334,3734334,0
10_15_2021,2,EURO,0.33,–,–,Currency,10000,11606,0
10_15_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3518139
10_15_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3776013
10_15_2021,5,EURO,-7.11,–,–,Currency,-214134,-248513,0
10_18_2021,1,Cash,108.38,–,–,Cash,3735571,3735571,0
10_18_2021,2,EURO,0.34,–,–,Currency,10000,11601,0
10_18_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3464848
10_18_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3777475
10_18_2021,5,EURO,-8.72,–,–,Currency,-259014,-300494,0
10_19_2021,1,Cash,116.42,–,–,Cash,3744759,3744759,0
10_19_2021,2,EURO,0.36,–,–,Currency,10000,11645,0
10_19_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3239575
10_19_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3786738
10_19_2021,5,EURO,-16.78,–,–,Currency,-463524,-539753,0
10_20_2021,1,Cash,109.85,–,–,Cash,3750052,3750052,0
10_20_2021,2,EURO,0.34,–,–,Currency,10000,11648,0
10_20_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3432275
10_20_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3792100
10_20_2021,5,EURO,-10.19,–,–,Currency,-298794,-348022,0
10_21_2021,1,Cash,109.5,–,–,Cash,3739092,3739092,0
10_21_2021,2,EURO,0.34,–,–,Currency,10000,11646,0
10_21_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3443715
10_21_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3781213
10_21_2021,5,EURO,-9.84,–,–,Currency,-288594,-336098,0
10_22_2021,1,Cash,108.94,–,–,Cash,3743243,3743243,0
10_22_2021,2,EURO,0.34,–,–,Currency,10000,11646,0
10_22_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3461060
10_22_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3785438
10_22_2021,5,EURO,-9.28,–,–,Currency,-273804,-318885,0
10_25_2021,1,Cash,107.6,–,–,Cash,3735221,3735221,0
10_25_2021,2,EURO,0.33,–,–,Currency,10000,11613,0
10_25_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3493775
10_25_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3777638
10_25_2021,5,EURO,-7.93,–,–,Currency,-237084,-275327,0
10_26_2021,1,Cash,106.11,–,–,Cash,3729947,3729947,0
10_26_2021,2,EURO,0.33,–,–,Currency,10000,11594,0
10_26_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3536509
10_26_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3772438
10_26_2021,5,EURO,-6.44,–,–,Currency,-195264,-226388,0
10_27_2021,1,Cash,105.94,–,–,Cash,3733771,3733771,0
10_27_2021,2,EURO,0.33,–,–,Currency,10000,11596,0
10_27_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3542447
10_27_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3776338
10_27_2021,5,EURO,-6.27,–,–,Currency,-190674,-221105,0
10_28_2021,1,Cash,108.37,–,–,Cash,3758070,3758070,0
10_28_2021,2,EURO,0.34,–,–,Currency,10000,11677,0
10_28_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3487856
10_28_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3800713
10_28_2021,5,EURO,-8.7,–,–,Currency,-258504,-301843,0
10_29_2021,1,Cash,108.13,–,–,Cash,3717046,3717046,0
10_29_2021,2,EURO,0.34,–,–,Currency,10000,11572,0
10_29_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3465040
10_29_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3759763
10_29_2021,5,EURO,-8.46,–,–,Currency,-251364,-290890,0
11_01_2021,1,Cash,111.48,–,–,Cash,3732262,3732262,0
11_01_2021,2,EURO,0.35,–,–,Currency,10000,11590,0
11_01_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3365794
11_01_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3775200
11_01_2021,5,EURO,-11.83,–,–,Currency,-341634,-395969,0
