date,Rank,Company Name,% of Net Assets,Ticker,Identifier,Type,Shares Held,Market Value($),Notional Value($)
02_05_2021,1,Cash,34.06,–,–,Cash,10523987,10523987,0
02_05_2021,2,EURO,31.31,–,–,Currency,8044571,9673955,0
02_05_2021,3,SCHWAB SHORT-TER,18.28,SCHO,US8085248628,Mutual Fund,109950,5649231,0
02_05_2021,4,EURO,16.36,–,–,Currency,4202825,5054085,0
02_05_2021,5,CA CARBON ALLOW 21DEC21,0,ZCAZ21,–,Future,241,0,4446450
02_05_2021,6,CA CARBON ALLOW 21DEC22,0,ZCAZ22,–,Future,62,0,1198460
02_05_2021,7,EURO FX CURR FUT  MAR21,0,ECH1,–,Future,55,0,8286094
02_05_2021,8,ICE ECX EMISSION  DEC21,0,MOZ21,–,Future,427,0,19615186
02_05_2021,9,ICE ECX EMISSION  DEC22,0,MOZ22,–,Future,37,0,1709910
02_05_2021,10,RGGI VINTAGE 21   DEC21,0,ZRDZ21,–,Future,364,0,2977520
02_08_2021,1,Cash,33.79,–,–,Cash,10529586,10529586,0
02_08_2021,2,EURO,31.1,–,–,Currency,8044571,9691670,0
02_08_2021,3,SCHWAB SHORT-TER,18.13,SCHO,US8085248628,Mutual Fund,109950,5649231,0
02_08_2021,4,EURO,16.98,–,–,Currency,4393065,5292531,0
02_08_2021,5,CA CARBON ALLOW 21DEC21,0,ZCAZ21,–,Future,241,0,4456090
02_08_2021,6,CA CARBON ALLOW 21DEC22,0,ZCAZ22,–,Future,62,0,1199080
02_08_2021,7,EURO FX CURR FUT  MAR21,0,ECH1,–,Future,55,0,8294344
02_08_2021,8,ICE ECX EMISSION  DEC21,0,MOZ21,–,Future,427,0,19862020
02_08_2021,9,ICE ECX EMISSION  DEC22,0,MOZ22,–,Future,37,0,1731317
02_08_2021,10,RGGI VINTAGE 21   DEC21,0,ZRDZ21,–,Future,364,0,2966600
02_09_2021,1,EURO,41.1,–,–,Currency,10571842,12789240,0
02_09_2021,2,Cash,24.3,–,–,Cash,7561988,7561988,0
02_09_2021,3,SCHWAB SHORT-TER,18.15,SCHO,US8085248628,Mutual Fund,109950,5647032,0
02_09_2021,4,EURO,16.45,–,–,Currency,4230665,5118029,0
02_09_2021,5,CA CARBON ALLOW 21DEC21,0,ZCAZ21,–,Future,241,0,4458500
02_09_2021,6,CA CARBON ALLOW 21DEC22,0,ZCAZ22,–,Future,62,0,1199700
02_09_2021,7,EURO FX CURR FUT  MAR21,0,ECH1,–,Future,55,0,8336625
02_09_2021,8,ICE ECX EMISSION  DEC21,0,MOZ21,–,Future,427,0,19763640
02_09_2021,9,ICE ECX EMISSION  DEC22,0,MOZ22,–,Future,37,0,1722835
02_09_2021,10,RGGI VINTAGE 21   DEC21,0,ZRDZ21,–,Future,364,0,2999360
02_10_2021,1,EURO,40.31,–,–,Currency,10571842,12824147,0
02_10_2021,2,Cash,23.91,–,–,Cash,7607995,7607995,0
02_10_2021,3,EURO,18.02,–,–,Currency,4727145,5734252,0
